"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Miles Boykin","PIT","5.9","76.5","0.4","0.0","0.0","0.0","0.0","10.2"
"Nsimba Webster","CHI","5.9","76.6","0.4","0.0","0.0","0.0","0.0","10.1"
"Andre Roberts","CAR","5.8","72.9","0.4","0.0","0.0","0.0","0.0","9.9"
"DeAndre Carter","LAC","5.9","69.9","0.5","0.0","0.0","0.0","0.1","9.6"
"Jalen Virgil","DEN","5.3","60.8","0.5","0.0","0.0","0.0","0.0","9.2"
"Tre'Quan Smith","NO","5.9","60.8","0.5","0.0","0.0","0.0","0.0","8.7"
"David Sills V","NYG","5.8","67.8","0.3","0.0","0.0","0.0","0.1","8.5"
"Javon Wims","ARI","5.9","59.2","0.3","0.0","0.0","0.0","0.0","8.0"
"Greg Dortch","ARI","4.4","60.7","0.3","0.0","0.0","0.0","0.0","7.9"
"Stanley Morgan Jr.","CIN","5.1","57.0","0.3","0.0","0.0","0.0","0.0","7.3"
"C.J. Board","ARI","3.5","54.2","0.3","0.0","0.0","0.0","0.0","7.3"
"Cameron Batson","ATL","4.8","52.5","0.3","0.0","0.0","0.0","0.0","7.2"
"Cody Thompson","SEA","4.8","52.3","0.3","0.0","0.0","0.0","0.0","7.1"
"Mike Thomas","CIN","5.0","54.2","0.3","0.0","0.0","0.0","0.0","7.1"
"Travis Fulgham","GB","3.5","44.1","0.3","0.0","0.0","0.0","0.0","6.4"
"Marquez Stevenson","BUF","3.5","41.1","0.3","0.0","0.0","0.0","0.0","6.1"
"Trenton Irwin","CIN","3.5","39.7","0.3","0.0","0.0","0.0","0.0","5.8"
"Andy Isabella","ARI","3.4","42.4","0.3","0.0","0.0","0.0","0.0","5.7"
"Malik Turner","SF","3.1","35.3","0.3","0.0","0.0","0.0","0.0","5.5"
"N'Keal Harry","CHI","3.6","45.5","0.2","0.0","0.0","0.0","0.0","5.4"
"Willie Snead IV","SF","3.4","41.5","0.2","0.0","0.0","0.0","0.0","5.2"
"River Cracraft","MIA","3.5","38.8","0.2","0.0","0.0","0.0","0.0","5.2"
"Dennis Houston","DAL","5.0","52.0","0.0","0.0","0.0","0.0","0.0","5.2"
"Dante Pettis","CHI","2.9","38.8","0.2","0.0","0.0","0.0","0.0","4.9"
"Gunner Olszewski","PIT","2.9","36.3","0.2","0.0","0.0","0.0","0.0","4.9"
"Isaiah Coulter","CHI","3.0","38.6","0.2","0.0","0.0","0.0","0.0","4.9"
"Jaelon Darden","TB","2.9","32.8","0.3","0.0","0.0","0.0","0.0","4.8"
"Jake Kumerow","BUF","2.6","32.8","0.3","0.0","0.0","0.0","0.0","4.8"
"Jared Bernhardt","ATL","3.2","35.5","0.2","0.0","0.0","0.0","0.0","4.6"
"Dax Milne","WAS","2.5","28.7","0.2","0.0","0.0","0.0","0.0","3.9"
"Steven Sims Jr.","PIT","2.7","27.8","0.2","0.0","0.0","0.0","0.0","3.7"
"Frank Darby","ATL","2.3","26.9","0.2","0.0","0.0","0.0","0.0","3.6"
"Brandon Powell","LAR","2.0","22.7","0.2","0.0","0.0","0.0","0.0","3.3"
"Lance McCutcheon","LAR","1.8","20.8","0.2","0.0","0.0","0.0","0.0","3.1"
"Vyncint Smith","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Slade Bolden","BAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kawaan Baker","NO","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Corey Coleman","KC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kirk Merritt","NO","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"C.J. Saunders","CAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Alex Erickson","WAS","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Lawrence Cager","NYJ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Daurice Fountain","KC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Josh Gordon","TEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dan Chisena","MIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
