,Player,Team,POS,RUSH_ATT,RUSH_YD,RUSH_TD,REC,REC_YD,REC_TD,FL,PASS_ATT,CMP,PASS_YD,PASS_TD,INTS
134,Jake Funk,LAR,RB,6.9,41.2,0.3,3.0,21.5,0.1,0.1,0.0,0.0,0,0.0,0.0
135,JaMycal Hasty,JAC,RB,5.9,24.6,0.2,4.2,30.1,0.2,0.1,0.0,0.0,0,0.0,0.0
136,Michael Burton,KC,RB,5.8,23.7,0.3,3.5,25.2,0.2,0.0,0.0,0.0,0,0.0,0.0
137,Patrick Ricard,BAL,RB,2.6,7.9,0.1,6.4,43.9,0.3,0.0,0.0,0.0,0,0.0,0.0
138,Andrew Beck,DEN,RB,4.7,18.8,0.2,4.4,33.0,0.2,0.0,0.0,0.0,0,0.0,0.0
139,Jakob Johnson,LV,RB,4.0,16.5,0.2,4.4,32.6,0.3,0.1,0.0,0.0,0,0.0,0.0
140,Giovanni Ricci,CAR,RB,4.5,18.2,0.1,4.0,31.2,0.2,0.0,0.0,0.0,0,0.0,0.0
141,Julius Chestnut,TEN,RB,4.5,18.8,0.1,3.8,28.0,0.2,0.0,0.0,0.0,0,0.0,0.0
142,Derek Watt,PIT,RB,2.2,8.7,0.1,4.4,32.5,0.2,0.0,0.0,0.0,0,0.0,0.0
143,Jason Cabinda,DET,RB,3.0,12.5,0.1,3.6,26.6,0.2,0.0,0.0,0.0,0,0.0,0.0
144,Khari Blasingame,CHI,RB,2.4,9.8,0.1,3.8,29.2,0.2,0.0,0.0,0.0,0,0.0,0.0
145,Salvon Ahmed,MIA,RB,7.6,31.8,0.2,1.0,7.7,0.0,0.0,0.0,0.0,0,0.0,0.0
146,Trevon Wesco,CHI,RB,0.0,0.0,0.0,3.5,36.5,0.3,0.0,0.0,0.0,0,0.0,0.0
147,Adam Prentice,NO,RB,4.4,18.7,0.1,2.0,14.7,0.1,0.0,0.0,0.0,0,0.0,0.0
148,Reggie Gilliam,BUF,RB,0.0,0.0,0.0,4.4,32.5,0.2,0.0,0.0,0.0,0,0.0,0.0
149,Brittain Brown,LV,RB,3.8,15.6,0.1,2.1,15.4,0.1,0.0,0.0,0.0,0,0.0,0.0
150,Tory Carter,TEN,RB,0.0,0.0,0.0,3.9,28.4,0.2,0.0,0.0,0.0,0,0.0,0.0
151,Mekhi Sargent,JAC,RB,2.2,8.9,0.1,2.1,15.9,0.1,0.0,0.0,0.0,0,0.0,0.0
152,Zander Horvath,LAC,RB,4.4,18.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
153,Malcolm Brown,LAR,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
154,Malik Davis,DAL,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
155,Spencer Brown,BUF,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
156,Jason Huntley,PIT,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
157,Jaret Patterson,WAS,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
158,Taiwan Jones,BUF,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
159,Larry Rountree III,LAC,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
160,John Lovett,MIA,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
161,0,0,RB,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
162,0,0,RB,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
1,Cooper Kupp,LAR,WR,4.1,25.1,0.1,120.9,"1,560.6",12.1,0.4,0.0,0.0,0,0.0,0.0
2,Ja'Marr Chase,CIN,WR,8.1,52.5,0.2,92.2,"1,408.7",10.6,0.4,0.0,0.0,0,0.0,0.0
3,Justin Jefferson,MIN,WR,2.6,17.0,0.1,102.8,"1,471.9",9.6,0.3,0.0,0.0,0,0.0,0.0
4,Deebo Samuel,SF,WR,67.1,381.5,4.4,70.2,"1,014.7",6.4,0.6,0.0,0.0,0,0.0,0.0
5,Davante Adams,LV,WR,0.0,0.0,0.0,105.5,"1,302.4",9.8,0.2,0.0,0.0,0,0.0,0.0
6,Stefon Diggs,BUF,WR,0.0,0.0,0.0,100.5,"1,227.8",8.8,0.3,0.0,0.0,0,0.0,0.0
7,Tyreek Hill,MIA,WR,8.3,57.9,0.4,90.7,"1,168.0",8.4,0.3,0.0,0.0,0,0.0,0.0
8,Mike Evans,TB,WR,0.0,0.0,0.0,83.1,"1,140.1",10.0,0.2,0.0,0.0,0,0.0,0.0
9,CeeDee Lamb,DAL,WR,5.0,35.9,0.1,89.8,"1,215.9",7.7,0.2,0.0,0.0,0,0.0,0.0
10,Tee Higgins,CIN,WR,0.0,0.0,0.0,85.1,"1,177.9",8.0,0.3,0.0,0.0,0,0.0,0.0
11,A.J. Brown,PHI,WR,0.5,3.8,0.0,79.5,"1,143.4",8.2,0.2,0.0,0.0,0,0.0,0.0
12,Mike Williams,LAC,WR,0.0,0.0,0.0,74.6,"1,084.8",8.0,0.1,0.0,0.0,0,0.0,0.0
13,Michael Pittman Jr.,IND,WR,4.6,32.2,0.1,91.3,"1,125.3",6.7,0.3,0.0,0.0,0,0.0,0.0
14,Gabe Davis,BUF,WR,0.0,0.0,0.0,64.9,995.6,8.6,0.2,0.0,0.0,0,0.0,0.0
15,Brandin Cooks,HOU,WR,2.5,16.4,0.1,91.5,"1,109.1",6.1,0.2,0.0,0.0,0,0.0,0.0
16,DJ Moore,CAR,WR,5.5,38.3,0.1,84.7,"1,118.3",5.5,0.4,0.0,0.0,0,0.0,0.0
17,Keenan Allen,LAC,WR,0.2,1.5,0.0,97.1,"1,065.0",6.9,0.3,0.0,0.0,0,0.0,0.0
18,DK Metcalf,SEA,WR,0.2,1.3,0.0,80.0,"1,077.0",6.6,0.3,0.0,0.0,0,0.0,0.0
19,Diontae Johnson,PIT,WR,4.0,28.8,0.1,94.6,"1,053.0",5.7,0.4,0.0,0.0,0,0.0,0.0
20,Terry McLaurin,WAS,WR,0.3,2.5,0.0,78.0,"1,060.8",5.8,0.2,0.0,0.0,0,0.0,0.0
21,Courtland Sutton,DEN,WR,0.0,0.0,0.0,68.8,978.3,7.2,0.2,0.0,0.0,0,0.0,0.0
22,Amon-Ra St. Brown,DET,WR,6.5,42.0,0.2,88.8,976.2,6.2,0.3,0.0,0.0,0,0.0,0.0
23,Chris Godwin,TB,WR,1.8,9.8,0.1,84.4,972.2,6.9,0.4,0.0,0.0,0,0.0,0.0
24,Jerry Jeudy,DEN,WR,1.0,6.1,0.0,74.2,"1,015.8",6.0,0.4,0.0,0.0,0,0.0,0.0
25,Darnell Mooney,CHI,WR,4.7,25.4,0.1,79.2,"1,046.2",4.8,0.2,0.0,0.0,0,0.0,0.0
26,Jaylen Waddle,MIA,WR,3.6,22.9,0.2,86.0,976.2,5.9,0.4,0.0,0.0,0,0.0,0.0
27,Tyler Lockett,SEA,WR,2.1,13.3,0.1,75.2,999.8,5.7,0.2,0.0,0.0,0,0.0,0.0
28,Marquise Brown,ARI,WR,2.2,14.9,0.1,76.5,991.3,5.8,0.4,0.0,0.0,0,0.0,0.0
29,Elijah Moore,NYJ,WR,5.7,40.5,0.1,73.4,943.2,5.8,0.3,0.0,0.0,0,0.0,0.0
30,Michael Thomas,NO,WR,0.0,0.0,0.0,83.2,951.2,6.3,0.2,0.0,0.0,0,0.0,0.0
